# Code: cgiSensitivity.c v2.1 (sll - 20 Sept 2002 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+07 	meters
# Optics diameter = 3.000000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 100.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-16 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Laser Shot Noise
# Output Curve type is Laser Shot Noise
#
#
#
#f [Hz] 	hf [Hz^(-1/2)]
7.964053e-01	5.967944e-24
8.149615e-01	5.990343e-24
8.339501e-01	6.015635e-24
8.533811e-01	6.043846e-24
8.732649e-01	6.075020e-24
8.936120e-01	6.109217e-24
9.144331e-01	6.146514e-24
9.357394e-01	6.187004e-24
9.575422e-01	6.230801e-24
9.798530e-01	6.278035e-24
1.002684e+00	6.328858e-24
1.026046e+00	6.383440e-24
1.049953e+00	6.441978e-24
1.074416e+00	6.504689e-24
1.099451e+00	6.571819e-24
1.125068e+00	6.643640e-24
1.151282e+00	6.720456e-24
1.178107e+00	6.802604e-24
1.205557e+00	6.890458e-24
1.233647e+00	6.984433e-24
1.262390e+00	7.084988e-24
1.291804e+00	7.192636e-24
1.321903e+00	7.307941e-24
1.352703e+00	7.431531e-24
1.384222e+00	7.564106e-24
1.416473e+00	7.706441e-24
1.449477e+00	7.859403e-24
1.483250e+00	8.023953e-24
1.517810e+00	8.201166e-24
1.553175e+00	8.392246e-24
1.589364e+00	8.598528e-24
1.626396e+00	8.821518e-24
1.664291e+00	9.062889e-24
1.703069e+00	9.324516e-24
1.742751e+00	9.608500e-24
1.783357e+00	9.917174e-24
1.824909e+00	1.025313e-23
1.867429e+00	1.061926e-23
1.910940e+00	1.101870e-23
1.955465e+00	1.145488e-23
2.001028e+00	1.193145e-23
2.047651e+00	1.245223e-23
2.095362e+00	1.302098e-23
2.144183e+00	1.364124e-23
2.194143e+00	1.431581e-23
2.245267e+00	1.504615e-23
2.297581e+00	1.583141e-23
2.351115e+00	1.666712e-23
2.405896e+00	1.754345e-23
2.461953e+00	1.844324e-23
2.519317e+00	1.934008e-23
2.578017e+00	2.019730e-23
2.638084e+00	2.096898e-23
2.699553e+00	2.160415e-23
2.762451e+00	2.205467e-23
2.826817e+00	2.228525e-23
2.892681e+00	2.228230e-23
2.960081e+00	2.205753e-23
3.029051e+00	2.164479e-23
3.099628e+00	2.109158e-23
3.171849e+00	2.044918e-23
3.245753e+00	1.976480e-23
3.321379e+00	1.907725e-23
3.398768e+00	1.841567e-23
3.477958e+00	1.780041e-23
3.558995e+00	1.724481e-23
3.641920e+00	1.675705e-23
3.726777e+00	1.634196e-23
3.813610e+00	1.600230e-23
3.902468e+00	1.573987e-23
3.993395e+00	1.555624e-23
4.086441e+00	1.545334e-23
4.181656e+00	1.543388e-23
4.279088e+00	1.550172e-23
4.378790e+00	1.566220e-23
4.480816e+00	1.592238e-23
4.585220e+00	1.629129e-23
4.692055e+00	1.678011e-23
4.801380e+00	1.740209e-23
4.913253e+00	1.817211e-23
5.027731e+00	1.910536e-23
5.144878e+00	2.021450e-23
5.264753e+00	2.150405e-23
5.387421e+00	2.296072e-23
5.512949e+00	2.453873e-23
5.641400e+00	2.614273e-23
5.772845e+00	2.761856e-23
5.907352e+00	2.877177e-23
6.044994e+00	2.942815e-23
6.185842e+00	2.951461e-23
6.329972e+00	2.909990e-23
6.477460e+00	2.835897e-23
6.628385e+00	2.749592e-23
6.782826e+00	2.668463e-23
6.940866e+00	2.604946e-23
7.102588e+00	2.567325e-23
7.268078e+00	2.561434e-23
7.437425e+00	2.592272e-23
7.610717e+00	2.665204e-23
7.788046e+00	2.786688e-23
7.969508e+00	2.964282e-23
8.155197e+00	3.205078e-23
8.345213e+00	3.510487e-23
8.539657e+00	3.863984e-23
8.738631e+00	4.211895e-23
8.942241e+00	4.457575e-23
9.150595e+00	4.511852e-23
9.363804e+00	4.376887e-23
9.581978e+00	4.144626e-23
9.803368e+00	3.916302e-23
1.002987e+01	3.749503e-23
1.026162e+01	3.671986e-23
1.049872e+01	3.698118e-23
1.074128e+01	3.840873e-23
